Tarih;toplam_kredi;tuketici_kredileri_tl_yp;konut;tasit;ihtiyac
28-06-2024;134.843,5;17.832,6;2,3;9.947,0;7.883,4
05-07-2024;133.366,2;18.433,9;2,2;10.551,1;7.880,6
12-07-2024;134.248,8;18.623,0;2,2;10.637,8;7.983,0
19-07-2024;135.363,2;18.700,8;2,2;10.627,2;8.071,5
26-07-2024;137.853,2;18.743,6;2,2;10.678,6;8.062,8
02-08-2024;139.019,8;18.910,2;2,2;10.798,2;8.109,9
09-08-2024;139.204,4;18.797,2;2,1;10.766,4;8.028,7
16-08-2024;139.057,6;18.813,7;2,1;10.740,9;8.070,7
23-08-2024;140.540,6;18.882,9;2,1;10.764,1;8.116,7
30-08-2024;144.160,1;19.107,1;2,0;10.800,8;8.304,2
06-09-2024;142.399,1;18.993,1;2,0;10.757,2;8.233,9
13-09-2024;142.465,6;19.147,1;2,0;10.684,8;8.460,3
20-09-2024;143.142,8;19.117,2;2,0;10.562,0;8.553,3
27-09-2024;145.744,0;19.191,2;1,9;10.431,5;8.757,7
04-10-2024;146.661,8;19.112,3;1,9;10.345,7;8.764,7
11-10-2024;147.317,4;19.168,8;1,9;10.348,5;8.818,3
18-10-2024;147.798,2;19.323,1;1,9;10.361,4;8.959,8
25-10-2024;148.941,1;19.530,0;1,9;10.477,6;9.050,6
01-11-2024;150.728,0;19.841,5;1,8;10.674,6;9.165,1
08-11-2024;150.412,8;19.911,9;1,8;10.729,5;9.180,6
15-11-2024;152.997,5;20.413,5;1,7;10.973,8;9.438,0
22-11-2024;154.171,9;20.896,4;1,7;11.294,4;9.600,3
29-11-2024;159.944,2;21.624,1;1,7;11.864,9;9.757,5
06-12-2024;159.192,8;21.623,5;1,7;11.994,1;9.627,8
13-12-2024;161.712,3;21.999,7;1,6;12.197,2;9.800,9
20-12-2024;164.398,4;22.382,1;1,6;12.485,8;9.894,7
27-12-2024;173.647,8;23.257,6;1,6;13.140,9;10.115,1
03-01-2025;176.717,8;23.902,1;1,6;13.705,4;10.195,1
10-01-2025;175.602,5;23.734,6;1,6;13.617,9;10.115,1
17-01-2025;175.452,3;23.557,7;1,5;13.363,6;10.192,6
24-01-2025;174.567,2;23.307,7;1,5;13.111,8;10.194,5
31-01-2025;174.545,3;23.281,4;1,5;13.004,5;10.275,4
07-02-2025;173.194,7;22.987,4;1,5;12.890,7;10.095,1
14-02-2025;174.627,8;23.101,2;1,5;12.827,1;10.272,6
21-02-2025;175.080,8;23.008,0;1,5;12.727,9;10.278,6
28-02-2025;178.179,6;23.043,4;1,4;12.774,5;10.267,4
07-03-2025;177.974,6;22.801,2;1,4;12.687,4;10.112,3
14-03-2025;181.904,1;22.920,3;1,4;12.727,5;10.191,4
21-03-2025;185.167,4;23.010,0;1,3;12.775,0;10.233,6
28-03-2025;191.972,5;23.119,2;1,3;12.757,3;10.360,6
04-04-2025;189.010,5;22.925,6;1,3;12.563,6;10.360,7
11-04-2025;188.609,1;22.932,0;1,3;12.553,5;10.377,2
